epoc (ms),timestamp (+0100),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1.52516E+12,2018-05-01T09.23.02.155,0,0.973,-0.062,0.258
1.52516E+12,2018-05-01T09.23.02.237,0.082,0.978,-0.069,0.257
1.52516E+12,2018-05-01T09.23.02.317,0.162,0.975,-0.056,0.249
1.52516E+12,2018-05-01T09.23.02.398,0.243,0.976,-0.059,0.252
1.52516E+12,2018-05-01T09.23.02.479,0.324,0.975,-0.063,0.255
1.52516E+12,2018-05-01T09.23.02.561,0.406,0.974,-0.063,0.257
1.52516E+12,2018-05-01T09.23.02.641,0.486,0.973,-0.067,0.258
1.52516E+12,2018-05-01T09.23.02.722,0.567,0.975,-0.063,0.256
1.52516E+12,2018-05-01T09.23.02.802,0.647,0.977,-0.057,0.252
1.52516E+12,2018-05-01T09.23.02.883,0.728,0.976,-0.059,0.252
1.52516E+12,2018-05-01T09.23.02.965,0.81,0.978,-0.053,0.252
1.52516E+12,2018-05-01T09.23.03.045,0.89,0.978,-0.052,0.25
1.52516E+12,2018-05-01T09.23.03.126,0.971,0.98,-0.048,0.251
1.52516E+12,2018-05-01T09.23.03.207,1.052,0.977,-0.048,0.251
1.52516E+12,2018-05-01T09.23.03.289,1.134,0.978,-0.047,0.254
1.52516E+12,2018-05-01T09.23.03.369,1.214,0.977,-0.052,0.259
1.52516E+12,2018-05-01T09.23.03.450,1.295,0.974,-0.054,0.261
1.52516E+12,2018-05-01T09.23.03.530,1.375,0.972,-0.059,0.269
1.52516E+12,2018-05-01T09.23.03.611,1.456,0.971,-0.062,0.272
1.52516E+12,2018-05-01T09.23.03.693,1.538,0.97,-0.056,0.273
1.52516E+12,2018-05-01T09.23.03.773,1.618,0.971,-0.059,0.275
1.52516E+12,2018-05-01T09.23.03.854,1.699,0.968,-0.055,0.275
1.52516E+12,2018-05-01T09.23.03.935,1.78,0.968,-0.057,0.279
1.52516E+12,2018-05-01T09.23.04.017,1.862,0.969,-0.06,0.281
1.52516E+12,2018-05-01T09.23.04.097,1.942,0.969,-0.055,0.281
1.52516E+12,2018-05-01T09.23.04.178,2.023,0.967,-0.055,0.281
1.52516E+12,2018-05-01T09.23.04.258,2.103,0.968,-0.059,0.282
1.52516E+12,2018-05-01T09.23.04.339,2.184,0.968,-0.059,0.283
1.52516E+12,2018-05-01T09.23.04.421,2.266,0.967,-0.058,0.285
1.52516E+12,2018-05-01T09.23.04.501,2.346,0.967,-0.059,0.284
1.52516E+12,2018-05-01T09.23.04.582,2.427,0.967,-0.06,0.285
1.52516E+12,2018-05-01T09.23.04.663,2.508,0.975,-0.034,0.292
1.52516E+12,2018-05-01T09.23.04.745,2.59,0.963,-0.037,0.323
1.52516E+12,2018-05-01T09.23.04.825,2.67,0.938,-0.088,0.323
1.52516E+12,2018-05-01T09.23.04.906,2.751,0.966,-0.045,0.284
1.52516E+12,2018-05-01T09.23.04.986,2.831,0.969,-0.057,0.27
1.52516E+12,2018-05-01T09.23.05.067,2.912,0.983,-0.047,0.244
1.52516E+12,2018-05-01T09.23.05.149,2.994,0.967,-0.045,0.242
1.52516E+12,2018-05-01T09.23.05.229,3.074,0.999,-0.07,0.244
1.52516E+12,2018-05-01T09.23.05.310,3.155,0.98,-0.055,0.243
1.52516E+12,2018-05-01T09.23.05.391,3.236,0.978,-0.062,0.239
1.52516E+12,2018-05-01T09.23.05.473,3.318,0.989,-0.053,0.248
1.52516E+12,2018-05-01T09.23.05.553,3.398,0.976,-0.046,0.247
1.52516E+12,2018-05-01T09.23.05.634,3.479,0.981,-0.023,0.269
1.52516E+12,2018-05-01T09.23.05.714,3.559,0.964,-0.048,0.315
1.52516E+12,2018-05-01T09.23.05.795,3.64,0.933,-0.083,0.31
1.52516E+12,2018-05-01T09.23.05.877,3.722,0.958,-0.025,0.306
1.52516E+12,2018-05-01T09.23.05.958,3.803,0.953,-0.085,0.29
1.52516E+12,2018-05-01T09.23.06.038,3.883,0.979,-0.127,0.275
1.52516E+12,2018-05-01T09.23.06.119,3.964,0.984,-0.109,0.27
1.52516E+12,2018-05-01T09.23.06.201,4.046,0.946,-0.12,0.261
1.52516E+12,2018-05-01T09.23.06.281,4.126,0.955,-0.152,0.274
1.52516E+12,2018-05-01T09.23.06.362,4.207,0.974,-0.164,0.266
1.52516E+12,2018-05-01T09.23.06.442,4.287,0.953,-0.113,0.25
1.52516E+12,2018-05-01T09.23.06.523,4.368,0.945,-0.091,0.241
1.52516E+12,2018-05-01T09.23.06.605,4.45,1.004,-0.166,0.248
1.52516E+12,2018-05-01T09.23.06.686,4.531,1.011,-0.301,0.224
1.52516E+12,2018-05-01T09.23.06.766,4.611,1,-0.28,0.241
1.52516E+12,2018-05-01T09.23.06.847,4.692,1.209,0.085,0.24
1.52516E+12,2018-05-01T09.23.06.929,4.774,0.898,0.484,0.295
1.52516E+12,2018-05-01T09.23.07.009,4.854,0.954,0.014,0.426
1.52516E+12,2018-05-01T09.23.07.090,4.935,0.955,-0.145,0.287
1.52516E+12,2018-05-01T09.23.07.170,5.015,0.777,0.18,0.348
1.52516E+12,2018-05-01T09.23.07.252,5.097,0.766,0.04,0.38
1.52516E+12,2018-05-01T09.23.07.333,5.178,0.86,-0.118,0.346
1.52516E+12,2018-05-01T09.23.07.414,5.259,1.027,-0.037,0.491
1.52516E+12,2018-05-01T09.23.07.494,5.339,1.289,-0.297,0.607
1.52516E+12,2018-05-01T09.23.07.575,5.42,1.067,0.034,0.218
1.52516E+12,2018-05-01T09.23.07.657,5.502,0.735,0.21,0.037
1.52516E+12,2018-05-01T09.23.07.737,5.582,1.026,0.07,0.224
1.52516E+12,2018-05-01T09.23.07.818,5.663,0.865,0.082,0.203
1.52516E+12,2018-05-01T09.23.07.898,5.743,0.973,-0.188,0.223
1.52516E+12,2018-05-01T09.23.07.980,5.825,0.955,-0.19,0.198
1.52516E+12,2018-05-01T09.23.08.061,5.906,1.059,-0.042,0.227
1.52516E+12,2018-05-01T09.23.08.142,5.987,1.31,-0.262,0.294
1.52516E+12,2018-05-01T09.23.08.222,6.067,1.043,0.293,0.22
1.52516E+12,2018-05-01T09.23.08.303,6.148,0.848,0.347,0.451
1.52516E+12,2018-05-01T09.23.08.385,6.23,0.941,-0.112,0.293
1.52516E+12,2018-05-01T09.23.08.465,6.31,0.7,-0.006,0.33
1.52516E+12,2018-05-01T09.23.08.546,6.391,0.794,0.109,0.44
1.52516E+12,2018-05-01T09.23.08.626,6.471,0.833,-0.192,0.407
1.52516E+12,2018-05-01T09.23.08.708,6.553,1.025,-0.177,0.539
1.52516E+12,2018-05-01T09.23.08.789,6.634,1.468,-0.136,0.521
1.52516E+12,2018-05-01T09.23.08.870,6.715,0.749,0.257,0.17
1.52516E+12,2018-05-01T09.23.08.950,6.795,0.951,-0.018,0.148
1.52516E+12,2018-05-01T09.23.09.032,6.877,0.951,0.061,0.274
1.52516E+12,2018-05-01T09.23.09.113,6.958,0.758,0.102,0.221
1.52516E+12,2018-05-01T09.23.09.193,7.038,0.983,-0.253,0.18
1.52516E+12,2018-05-01T09.23.09.274,7.119,1.005,-0.132,0.256
1.52516E+12,2018-05-01T09.23.09.354,7.199,1.219,-0.242,0.32
1.52516E+12,2018-05-01T09.23.09.437,7.282,1.235,0.108,0.21
1.52516E+12,2018-05-01T09.23.09.517,7.362,0.968,0.413,0.401
1.52516E+12,2018-05-01T09.23.09.598,7.443,0.883,-0.146,0.254
1.52516E+12,2018-05-01T09.23.09.678,7.523,0.66,-0.054,0.266
1.52516E+12,2018-05-01T09.23.09.760,7.605,0.83,0.046,0.405
1.52516E+12,2018-05-01T09.23.09.841,7.686,0.868,-0.16,0.386
1.52516E+12,2018-05-01T09.23.09.921,7.766,1,-0.241,0.547
1.52516E+12,2018-05-01T09.23.10.002,7.847,1.465,-0.173,0.429
1.52516E+12,2018-05-01T09.23.10.084,7.929,0.841,0.294,0.148
1.52516E+12,2018-05-01T09.23.10.165,8.01,0.934,-0.082,0.078
1.52516E+12,2018-05-01T09.23.10.245,8.09,0.893,0.096,0.244
1.52516E+12,2018-05-01T09.23.10.326,8.171,0.814,0.049,0.217
1.52516E+12,2018-05-01T09.23.10.406,8.251,1.008,-0.274,0.23
1.52516E+12,2018-05-01T09.23.10.488,8.333,1.036,-0.065,0.217
1.52516E+12,2018-05-01T09.23.10.569,8.414,1.108,-0.238,0.252
1.52516E+12,2018-05-01T09.23.10.649,8.494,1.202,-0.06,0.292
1.52516E+12,2018-05-01T09.23.10.730,8.575,0.965,0.629,0.428
1.52516E+12,2018-05-01T09.23.10.812,8.657,0.958,0.048,0.428
1.52516E+12,2018-05-01T09.23.10.893,8.738,0.821,-0.078,0.31
1.52516E+12,2018-05-01T09.23.10.973,8.818,0.634,0.078,0.401
1.52516E+12,2018-05-01T09.23.11.054,8.899,0.774,-0.062,0.467
1.52516E+12,2018-05-01T09.23.11.134,8.979,0.981,-0.19,0.484
1.52516E+12,2018-05-01T09.23.11.216,9.061,1.268,-0.176,0.667
1.52516E+12,2018-05-01T09.23.11.297,9.142,1.188,0.435,0.142
1.52516E+12,2018-05-01T09.23.11.377,9.222,0.802,0.261,0.152
1.52516E+12,2018-05-01T09.23.11.458,9.303,0.963,0,0.167
1.52516E+12,2018-05-01T09.23.11.540,9.385,0.848,0.17,0.166
1.52516E+12,2018-05-01T09.23.11.621,9.466,1.03,-0.216,0.158
1.52516E+12,2018-05-01T09.23.11.701,9.546,0.95,-0.288,0.194
1.52516E+12,2018-05-01T09.23.11.782,9.627,0.986,-0.226,0.19
1.52516E+12,2018-05-01T09.23.11.864,9.709,1.177,-0.156,0.345
1.52516E+12,2018-05-01T09.23.11.944,9.789,1.147,0.307,0.347
1.52516E+12,2018-05-01T09.23.12.025,9.87,0.952,0.2,0.433
1.52516E+12,2018-05-01T09.23.12.105,9.95,0.911,-0.104,0.332
1.52516E+12,2018-05-01T09.23.12.186,10.031,0.684,-0.028,0.364
1.52516E+12,2018-05-01T09.23.12.268,10.113,0.81,-0.045,0.416
1.52516E+12,2018-05-01T09.23.12.349,10.194,0.854,-0.165,0.459
1.52516E+12,2018-05-01T09.23.12.429,10.274,0.915,-0.167,0.496
1.52516E+12,2018-05-01T09.23.12.510,10.355,1.134,-0.126,0.604
1.52516E+12,2018-05-01T09.23.12.592,10.437,1.253,0.362,0.221
1.52516E+12,2018-05-01T09.23.12.672,10.517,0.822,0.159,0.147
1.52516E+12,2018-05-01T09.23.12.753,10.598,1.02,-0.07,0.157
1.52516E+12,2018-05-01T09.23.12.833,10.678,0.943,0.12,0.22
1.52516E+12,2018-05-01T09.23.12.914,10.759,0.958,0.125,0.131
1.52516E+12,2018-05-01T09.23.12.996,10.841,1.035,0.049,0.136
1.52516E+12,2018-05-01T09.23.13.077,10.922,1.035,-0.071,0.135
1.52516E+12,2018-05-01T09.23.13.157,11.002,0.916,0.117,0.12
1.52516E+12,2018-05-01T09.23.13.238,11.083,0.965,0.152,0.156
1.52516E+12,2018-05-01T09.23.13.320,11.165,1.02,-0.022,0.172
1.52516E+12,2018-05-01T09.23.13.400,11.245,1.042,-0.143,0.154
1.52516E+12,2018-05-01T09.23.13.481,11.326,1.025,0.013,0.137
1.52516E+12,2018-05-01T09.23.13.562,11.407,0.992,0.072,0.175
1.52516E+12,2018-05-01T09.23.13.642,11.487,0.975,0.174,0.26
1.52516E+12,2018-05-01T09.23.13.724,11.569,1.125,-0.164,0.329
1.52516E+12,2018-05-01T09.23.13.805,11.65,0.923,-0.035,0.269
1.52516E+12,2018-05-01T09.23.13.885,11.73,0.731,0.038,0.334
1.52516E+12,2018-05-01T09.23.13.966,11.811,0.841,-0.127,0.381
1.52516E+12,2018-05-01T09.23.14.048,11.893,0.895,-0.089,0.489
1.52516E+12,2018-05-01T09.23.14.128,11.973,1.038,-0.086,0.586
1.52516E+12,2018-05-01T09.23.14.209,12.054,1.393,0.157,0.374
1.52516E+12,2018-05-01T09.23.14.290,12.135,0.889,0.152,0.109
1.52516E+12,2018-05-01T09.23.14.372,12.217,0.913,-0.078,0.048
1.52516E+12,2018-05-01T09.23.14.452,12.297,0.883,0.074,0.188
1.52516E+12,2018-05-01T09.23.14.533,12.378,0.901,0.111,0.15
1.52516E+12,2018-05-01T09.23.14.613,12.458,1,-0.079,0.163
1.52516E+12,2018-05-01T09.23.14.694,12.539,0.951,-0.047,0.199
1.52516E+12,2018-05-01T09.23.14.776,12.621,1.177,-0.242,0.228
1.52516E+12,2018-05-01T09.23.14.856,12.701,1.279,-0.217,0.188
1.52516E+12,2018-05-01T09.23.14.937,12.782,1.068,0.636,0.313
1.52516E+12,2018-05-01T09.23.15.018,12.863,0.896,0.023,0.309
1.52516E+12,2018-05-01T09.23.15.100,12.945,0.717,-0.051,0.232
1.52516E+12,2018-05-01T09.23.15.180,13.025,0.72,0.133,0.309
1.52516E+12,2018-05-01T09.23.15.261,13.106,0.85,-0.113,0.362
1.52516E+12,2018-05-01T09.23.15.341,13.186,0.954,-0.169,0.465
1.52516E+12,2018-05-01T09.23.15.422,13.267,1.4,-0.202,0.581
1.52516E+12,2018-05-01T09.23.15.504,13.349,1.151,0.332,0.016
1.52516E+12,2018-05-01T09.23.15.584,13.429,0.894,0.039,0.119
1.52516E+12,2018-05-01T09.23.15.665,13.51,0.836,-0.006,0.2
1.52516E+12,2018-05-01T09.23.15.746,13.591,0.757,0.24,0.184
1.52516E+12,2018-05-01T09.23.15.828,13.673,0.944,-0.087,0.188
1.52516E+12,2018-05-01T09.23.15.908,13.753,1.091,-0.396,0.205
1.52516E+12,2018-05-01T09.23.15.989,13.834,1.316,-0.448,0.187
1.52516E+12,2018-05-01T09.23.16.069,13.914,1.236,0.54,0.161
1.52516E+12,2018-05-01T09.23.16.150,13.995,0.971,0.321,0.393
1.52516E+12,2018-05-01T09.23.16.232,14.077,0.792,-0.282,0.21
1.52516E+12,2018-05-01T09.23.16.312,14.157,0.673,-0.064,0.265
1.52516E+12,2018-05-01T09.23.16.393,14.238,0.895,0.116,0.378
1.52516E+12,2018-05-01T09.23.16.474,14.319,0.819,-0.11,0.344
1.52516E+12,2018-05-01T09.23.16.556,14.401,1.039,-0.281,0.548
1.52516E+12,2018-05-01T09.23.16.636,14.481,1.588,-0.061,0.331
1.52516E+12,2018-05-01T09.23.16.717,14.562,0.719,0.171,0.209
1.52516E+12,2018-05-01T09.23.16.797,14.642,0.933,-0.071,0.099
1.52516E+12,2018-05-01T09.23.16.878,14.723,0.886,0.193,0.238
1.52516E+12,2018-05-01T09.23.16.960,14.805,0.784,0.029,0.189
1.52516E+12,2018-05-01T09.23.17.041,14.886,1.018,-0.304,0.193
1.52516E+12,2018-05-01T09.23.17.121,14.966,1.132,-0.133,0.251
1.52516E+12,2018-05-01T09.23.17.202,15.047,1.353,-0.287,0.229
1.52516E+12,2018-05-01T09.23.17.284,15.129,1.056,0.409,0.223
1.52516E+12,2018-05-01T09.23.17.364,15.209,0.868,0.223,0.443
1.52516E+12,2018-05-01T09.23.17.445,15.29,0.92,-0.199,0.213
1.52516E+12,2018-05-01T09.23.17.525,15.37,0.76,0.017,0.283
1.52516E+12,2018-05-01T09.23.17.607,15.452,0.772,0.068,0.354
1.52516E+12,2018-05-01T09.23.17.688,15.533,0.84,-0.227,0.314
1.52516E+12,2018-05-01T09.23.17.769,15.614,1.087,-0.31,0.476
1.52516E+12,2018-05-01T09.23.17.849,15.694,1.609,0.019,0.309
1.52516E+12,2018-05-01T09.23.17.930,15.775,0.737,0.358,0.138
1.52516E+12,2018-05-01T09.23.18.012,15.857,0.951,0.132,0.084
1.52516E+12,2018-05-01T09.23.18.092,15.937,0.886,0.029,0.132
1.52516E+12,2018-05-01T09.23.18.173,16.018,0.854,-0.045,0.125
1.52516E+12,2018-05-01T09.23.18.253,16.098,1.029,-0.329,0.054
