epoc (ms),timestamp (+0100),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1.52517E+12,2018-05-01T10.42.32.877,0,0.998,0.078,0.089
1.52517E+12,2018-05-01T10.42.32.957,0.08,1.006,0.081,0.092
1.52517E+12,2018-05-01T10.42.33.038,0.161,1.004,0.082,0.092
1.52517E+12,2018-05-01T10.42.33.118,0.241,1.004,0.078,0.092
1.52517E+12,2018-05-01T10.42.33.199,0.322,1.005,0.082,0.093
1.52517E+12,2018-05-01T10.42.33.280,0.403,1.005,0.08,0.092
1.52517E+12,2018-05-01T10.42.33.360,0.483,1.003,0.08,0.091
1.52517E+12,2018-05-01T10.42.33.442,0.565,1.004,0.081,0.093
1.52517E+12,2018-05-01T10.42.33.523,0.646,1.005,0.077,0.093
1.52517E+12,2018-05-01T10.42.33.603,0.726,1.004,0.075,0.095
1.52517E+12,2018-05-01T10.42.33.684,0.807,1.005,0.067,0.092
1.52517E+12,2018-05-01T10.42.33.764,0.887,1.004,0.066,0.095
1.52517E+12,2018-05-01T10.42.33.845,0.968,1.005,0.066,0.092
1.52517E+12,2018-05-01T10.42.33.927,1.05,1.006,0.062,0.091
1.52517E+12,2018-05-01T10.42.34.008,1.131,1.004,0.064,0.087
1.52517E+12,2018-05-01T10.42.34.088,1.211,1.008,0.06,0.084
1.52517E+12,2018-05-01T10.42.34.169,1.292,1.006,0.06,0.083
1.52517E+12,2018-05-01T10.42.34.249,1.372,1.005,0.061,0.084
1.52517E+12,2018-05-01T10.42.34.330,1.453,1.006,0.062,0.083
1.52517E+12,2018-05-01T10.42.34.410,1.533,1.005,0.064,0.086
1.52517E+12,2018-05-01T10.42.34.492,1.615,1.005,0.063,0.086
1.52517E+12,2018-05-01T10.42.34.573,1.696,1.004,0.062,0.091
1.52517E+12,2018-05-01T10.42.34.655,1.778,1.006,0.061,0.093
1.52517E+12,2018-05-01T10.42.34.734,1.857,1.004,0.059,0.098
1.52517E+12,2018-05-01T10.42.34.815,1.938,1.008,0.057,0.101
1.52517E+12,2018-05-01T10.42.34.895,2.018,1.005,0.054,0.104
1.52517E+12,2018-05-01T10.42.34.977,2.1,1.002,0.055,0.105
1.52517E+12,2018-05-01T10.42.35.058,2.181,1.004,0.056,0.108
1.52517E+12,2018-05-01T10.42.35.138,2.261,1.003,0.056,0.108
1.52517E+12,2018-05-01T10.42.35.219,2.342,1.003,0.053,0.111
1.52517E+12,2018-05-01T10.42.35.300,2.423,1.006,0.051,0.107
1.52517E+12,2018-05-01T10.42.35.380,2.503,1.003,0.06,0.109
1.52517E+12,2018-05-01T10.42.35.461,2.584,1.003,0.058,0.108
1.52517E+12,2018-05-01T10.42.35.543,2.666,1.007,0.057,0.111
1.52517E+12,2018-05-01T10.42.35.623,2.746,1.005,0.056,0.108
1.52517E+12,2018-05-01T10.42.35.704,2.827,1.002,0.06,0.107
1.52517E+12,2018-05-01T10.42.35.784,2.907,1.005,0.056,0.109
1.52517E+12,2018-05-01T10.42.35.865,2.988,1.005,0.057,0.105
1.52517E+12,2018-05-01T10.42.35.946,3.069,1.004,0.065,0.102
1.52517E+12,2018-05-01T10.42.36.028,3.151,1.004,0.064,0.104
1.52517E+12,2018-05-01T10.42.36.108,3.231,1.009,0.061,0.106
1.52517E+12,2018-05-01T10.42.36.189,3.312,1.011,0.067,0.1
1.52517E+12,2018-05-01T10.42.36.269,3.392,1.002,0.094,0.088
1.52517E+12,2018-05-01T10.42.36.350,3.473,0.999,0.081,0.086
1.52517E+12,2018-05-01T10.42.36.430,3.553,1.002,0.055,0.096
